user_id,opportunity_id,interaction,relevance_label
user-alice,hackernews::47258946,engaged,3
user-alice,hackernews::48381122,engaged,3
user-alice,hackernews::46296373,engaged,3
user-alice,hackernews::47877444,engaged,3
user-alice,hackernews::46236022,engaged,3
user-alice,hackernews::47861511,engaged,3
user-alice,hackernews::47506612,engaged,3
user-alice,hackernews::46931712,engaged,3
user-alice,hackernews::48206973,engaged,3
user-alice,hackernews::44014240,engaged,3
user-alice,hackernews::47849498,bookmarked,2
user-alice,hackernews::47728094,bookmarked,2
user-alice,hackernews::45927958,bookmarked,2
user-alice,hackernews::43644351,bookmarked,2
user-alice,hackernews::48061869,bookmarked,2
user-alice,hackernews::47504872,bookmarked,2
user-alice,hackernews::47916801,bookmarked,2
user-alice,hackernews::41151572,bookmarked,2
user-alice,hackernews::47578618,bookmarked,2
user-alice,hackernews::47026874,bookmarked,2
user-alice,hackernews::47907937,bookmarked,2
user-alice,hackernews::47941707,bookmarked,2
user-alice,hackernews::48237349,bookmarked,2
user-alice,hackernews::47711228,bookmarked,2
user-alice,hackernews::48124960,bookmarked,2
user-alice,hackernews::42246883,bookmarked,2
user-alice,hackernews::48019933,bookmarked,2
user-alice,hackernews::47063932,bookmarked,2
user-alice,hackernews::48192941,bookmarked,2
user-alice,hackernews::43976370,bookmarked,2
user-alice,hackernews::47967003,clicked,1
user-alice,hackernews::47893767,clicked,1
user-alice,hackernews::48121066,clicked,1
user-alice,hackernews::48019066,clicked,1
user-alice,hackernews::48366913,clicked,1
user-alice,hackernews::48037031,clicked,1
user-alice,hackernews::47491062,clicked,1
user-alice,hackernews::41686137,clicked,1
user-alice,hackernews::47339451,clicked,1
user-alice,hackernews::47041258,clicked,1
user-alice,hackernews::47060015,clicked,1
user-alice,hackernews::47434242,clicked,1
user-alice,hackernews::47848795,clicked,1
user-alice,hackernews::47549759,clicked,1
user-alice,hackernews::46978421,clicked,1
user-alice,hackernews::42651659,clicked,1
user-alice,hackernews::47776124,clicked,1
user-alice,hackernews::47039073,clicked,1
user-alice,hackernews::48155921,clicked,1
user-alice,hackernews::47792241,clicked,1
user-alice,hackernews::47288721,clicked,1
user-alice,hackernews::47840104,clicked,1
user-alice,hackernews::47961770,clicked,1
user-alice,github::7579661787,clicked,1
user-alice,hackernews::47530015,clicked,1
user-alice,hackernews::48349619,clicked,1
user-alice,hackernews::48325848,clicked,1
user-alice,hackernews::47341731,clicked,1
user-alice,hackernews::46517584,clicked,1
user-alice,hackernews::47885012,clicked,1
user-alice,hackernews::48177085,skipped,0
user-alice,hackernews::48109052,skipped,0
user-alice,hackernews::47662013,skipped,0
user-alice,hackernews::48108791,skipped,0
user-alice,hackernews::47089901,skipped,0
user-alice,hackernews::47601601,skipped,0
user-alice,hackernews::47322539,skipped,0
user-alice,hackernews::48221283,skipped,0
user-alice,hackernews::48326053,skipped,0
user-alice,github::8717638472,skipped,0
user-alice,hackernews::47889321,skipped,0
user-alice,hackernews::43798112,skipped,0
user-alice,hackernews::47965227,skipped,0
user-alice,hackernews::41483617,skipped,0
user-alice,hackernews::47344855,skipped,0
user-alice,hackernews::43641841,skipped,0
user-alice,hackernews::46576224,skipped,0
user-alice,hackernews::46570545,skipped,0
user-alice,hackernews::46942152,skipped,0
user-alice,hackernews::47792744,skipped,0
user-alice,hackernews::48214999,skipped,0
user-alice,hackernews::46933963,skipped,0
user-alice,hackernews::47001086,skipped,0
user-alice,hackernews::40826236,skipped,0
user-alice,hackernews::40821263,skipped,0
user-alice,hackernews::44901936,skipped,0
user-alice,hackernews::44624702,skipped,0
user-alice,hackernews::44317714,skipped,0
user-alice,hackernews::48352245,skipped,0
user-alice,hackernews::41417817,skipped,0
user-alice,github::8717416196,skipped,0
user-alice,hackernews::48133509,skipped,0
user-alice,hackernews::45654523,skipped,0
user-alice,hackernews::42377842,skipped,0
user-alice,hackernews::47913601,skipped,0
user-alice,github::7579668891,skipped,0
user-alice,github::40238578140,skipped,0
user-alice,github::47592002299,skipped,0
user-alice,github::49146870012,skipped,0
user-alice,github::46046133058,skipped,0
