id,source,title,text,url,score,num_comments,created_utc,domain,domain_category,topic_category,title_length,age_days,engagement_score,snapshot_utc,opportunity_id,retrieval_rank,retrieval_distance,similarity,engagement_raw,comments_raw,days_old,freshness_score,trend_score,effort,effort_score,diversity_domain,final_score,reranked_score,rank,why
47885012,hackernews,"Dear friend, you have built a Kubernetes (2024)",,https://news.ycombinator.com/item?id=47885012,143,175,2026-04-24T03:07:45Z,macchaffee.com,other,DevOps/K8s,47,41,0.9548384156015032,2026-06-04T23:11:05Z,hackernews::47885012,55,0.773618221282959,0.5638191962623406,143,175,42,0.0438066963549398,1.0,low,1.0,DevOps/K8s,0.6512573258915949,0.701257325891595,1,"['high community engagement', 'matches your interest in DevOps/K8s', 'strong recent activity trend']"
48381122,hackernews,StackPulse – One Command Kubernetes Observability Platform,,https://news.ycombinator.com/item?id=48381122,3,1,2026-06-03T07:48:43Z,github.com,developer_tools,DevOps/K8s,58,1,0.2665571910660944,2026-06-04T23:11:05Z,hackernews::48381122,6,0.623887300491333,0.6158062814441828,3,1,1,1.0,0.24,low,1.0,DevOps/K8s,0.6044242648631012,0.6044242648631012,2,"['matches your interest in DevOps/K8s', 'active in the last 24h', 'low effort to engage']"
42246883,hackernews,I Stopped Using Kubernetes. Our DevOps Team Is Happier Than Ever,,https://news.ycombinator.com/item?id=42246883,214,204,2024-11-26T16:05:15Z,blog.stackademic.com,other,DevOps/K8s,64,555,1.0,2026-06-04T23:11:05Z,hackernews::42246883,15,0.6733324527740479,0.5976098762336208,214,204,555,0.0007704474718097862,0.08821621621621621,low,1.0,DevOps/K8s,0.5778616330475226,0.5778616330475226,3,"['high community engagement', 'matches your interest in DevOps/K8s', 'low effort to engage']"
40826236,hackernews,A Eulogy for DevOps,,https://news.ycombinator.com/item?id=40826236,248,165,2024-06-28T22:59:05Z,matduggan.com,other,DevOps/K8s,19,706,0.9980117252826302,2026-06-04T23:11:05Z,hackernews::40826236,66,0.8170770406723022,0.5503343983863276,248,165,706,0.0,0.05609065155807365,low,1.0,DevOps/K8s,0.5528618894861809,0.5528618894861809,4,"['high community engagement', 'matches your interest in DevOps/K8s', 'low effort to engage']"
48366913,hackernews,You Don't Need Kubernetes,,https://news.ycombinator.com/item?id=48366913,6,2,2026-06-02T06:56:46Z,green.spacedino.net,other,DevOps/K8s,25,2,0.3639071796130008,2026-06-04T23:11:05Z,hackernews::48366913,25,0.7124422788619995,0.5839612887066467,6,2,3,0.49858156028368794,0.15999999999999998,low,1.0,DevOps/K8s,0.5263512498831443,0.5263512498831443,5,"['matches your interest in DevOps/K8s', 'low effort to engage', 'posted this week']"
41151572,hackernews,Introduction to Kubernetes (k8) – a quick lookback,,https://news.ycombinator.com/item?id=41151572,33,23,2024-08-04T06:50:52Z,devopsprojectshq.com,other,DevOps/K8s,50,669,0.6696153861942262,2026-06-04T23:11:05Z,hackernews::41151572,2,0.581779956817627,0.6321991852848443,33,23,670,0.000152202175222754,0.008238805970149254,low,1.0,DevOps/K8s,0.5192594215403236,0.5192594215403236,6,"['matches your interest in DevOps/K8s', 'low effort to engage', '63% semantic match']"
48326053,hackernews,Reconciling Kubernetes cost estimates with CUR / FOCUS billing data,,https://news.ycombinator.com/item?id=48326053,30,2,2026-05-29T17:06:10Z,github.com,developer_tools,DevOps/K8s,67,6,0.5790961098438935,2026-06-04T23:11:05Z,hackernews::48326053,71,0.8250296115875244,0.5479363149237549,30,2,6,0.2836879432624113,0.07999999999999999,low,1.0,DevOps/K8s,0.5129437551738302,0.5129437551738302,7,"['matches your interest in DevOps/K8s', 'low effort to engage', 'posted this week']"
44624702,hackernews,"Gitea Private, Fast, Reliable DevOps Platform",,https://news.ycombinator.com/item?id=44624702,45,51,2025-07-20T12:47:34Z,about.gitea.com,other,DevOps/K8s,45,319,0.7576695559040498,2026-06-04T23:11:05Z,hackernews::44624702,76,0.84494948387146,0.5420202605773196,45,51,319,0.0034308510638297878,0.03836990595611285,low,1.0,DevOps/K8s,0.49979464669578944,0.49979464669578944,8,"['high community engagement', 'matches your interest in DevOps/K8s', 'low effort to engage']"
47039073,hackernews,Docker Swarm vs. Kubernetes in 2026,,https://news.ycombinator.com/item?id=47039073,27,28,2026-02-16T19:20:37Z,thedecipherist.com,other,DevOps/K8s,35,108,0.6666839593164173,2026-06-04T23:11:05Z,hackernews::47039073,38,0.7484029531478882,0.5719505324556697,27,28,108,0.015563797254213026,0.062222222222222213,low,1.0,DevOps/K8s,0.49927132327868906,0.49927132327868906,9,"['matches your interest in DevOps/K8s', 'low effort to engage', '57% semantic match']"
48349619,hackernews,Deep Dive into Kubernetes Gateway API,,https://news.ycombinator.com/item?id=48349619,7,1,2026-05-31T20:52:10Z,romaglushko.com,other,DevOps/K8s,37,4,0.3639071796130008,2026-06-04T23:11:05Z,hackernews::48349619,50,0.7706254720687866,0.5647721755813254,7,1,4,0.3982978723404256,0.06,low,1.0,DevOps/K8s,0.4926735957852605,0.4926735957852605,10,"['matches your interest in DevOps/K8s', 'low effort to engage', 'posted this week']"
48206973,hackernews,"Show HN: Agyn, an open-source Kubernetes runtime for AI agents",,https://news.ycombinator.com/item?id=48206973,9,7,2026-05-20T13:00:47Z,github.com,developer_tools,DevOps/K8s,62,15,0.4692404626783165,2026-06-04T23:11:05Z,hackernews::48206973,52,0.7714540958404541,0.5645079950691902,9,7,15,0.1225177304964539,0.112,low,1.0,DevOps/K8s,0.477454349891267,0.477454349891267,11,"['matches your interest in DevOps/K8s', 'low effort to engage', 'active recently']"
47965227,hackernews,Kubereboot/Kured: Kubernetes Reboot Daemon,,https://news.ycombinator.com/item?id=47965227,19,14,2026-04-30T16:53:44Z,github.com,developer_tools,DevOps/K8s,42,35,0.5840403962563738,2026-06-04T23:11:05Z,hackernews::47965227,78,0.8526489734649658,0.539767659347644,19,14,35,0.052876280535855004,0.096,low,1.0,DevOps/K8s,0.47723496803809284,0.47723496803809284,12,"['matches your interest in DevOps/K8s', 'low effort to engage', '54% semantic match']"
47907937,hackernews,Enterprises Are Rethinking Kubernetes,,https://news.ycombinator.com/item?id=47907937,9,2,2026-04-26T06:39:52Z,infoworld.com,other,DevOps/K8s,37,39,0.411553456962615,2026-06-04T23:11:05Z,hackernews::47907937,5,0.5966885089874268,0.6262962339687475,9,2,40,0.04608199273482097,0.012,low,1.0,DevOps/K8s,0.47225629558868254,0.47225629558868254,13,"['matches your interest in DevOps/K8s', 'low effort to engage', '63% semantic match']"
47941707,hackernews,Show HN: ClusterdOS – Kubernetes without the platform team,,https://news.ycombinator.com/item?id=47941707,13,1,2026-04-28T22:27:08Z,gitlab.com,developer_tools,DevOps/K8s,58,37,0.44851078087259477,2026-06-04T23:11:05Z,hackernews::47941707,8,0.643545389175415,0.6084407565413883,13,1,37,0.04994400895856663,0.006486486486486487,low,1.0,DevOps/K8s,0.4716407466105773,0.4716407466105773,14,"['matches your interest in DevOps/K8s', 'low effort to engage', '61% semantic match']"
46942152,hackernews,"Containers, cloud, blockchain, AI – all the same old BS, says veteran Red Hatter",,https://news.ycombinator.com/item?id=46942152,35,8,2026-02-09T06:24:35Z,theregister.com,other,DevOps/K8s,80,115,0.6267423871935077,2026-06-04T23:11:05Z,hackernews::46942152,90,0.8671743869781494,0.5355686147871856,35,8,116,0.014305631326907924,0.016551724137931035,low,1.0,DevOps/K8s,0.47015537120576434,0.47015537120576434,15,"['matches your interest in DevOps/K8s', 'low effort to engage', '54% semantic match']"
41483617,hackernews,[Deploying a basic React site pt 1] Setting up a self-hosted Kubernetes cluster,,https://news.ycombinator.com/item?id=41483617,28,15,2024-09-08T22:02:31Z,jpegsfiles.medium.com,other,DevOps/K8s,79,634,0.6267423871935077,2026-06-04T23:11:05Z,hackernews::41483617,80,0.8582875728607178,0.5381298430901964,28,15,634,0.0003216619199195845,0.005678233438485804,low,1.0,DevOps/K8s,0.46812297946112646,0.46812297946112646,16,"['matches your interest in DevOps/K8s', 'low effort to engage', '54% semantic match']"
